power_W,speed_mm_s,focus_depth_um,absorptivity,T_peak_K,haz_radius_um,penetration_depth_um,throughput_proxy,kerf_quality,above_damage_thr,below_melt
15.0,200.0,125.0,0.45,1805.3311711507577,3.3666850496911978,16.83342524845599,59.40561622131675,0.20314781846357793,True,True
15.0,200.0,150.0,0.25,1136.2950950837544,0.0,0.0,200.0,0.0,False,True
15.0,200.0,150.0,0.35,1470.813133117256,0.0,0.0,200.0,0.0,False,True
15.0,200.0,150.0,0.45,1805.3311711507577,3.3666850496911978,16.83342524845599,59.40561622131675,0.20314781846357793,True,True
15.0,300.0,50.0,0.25,1072.9866902919607,0.0,0.0,300.0,0.0,False,True
15.0,300.0,50.0,0.35,1382.1813664087451,0.0,0.0,300.0,0.0,False,True
15.0,300.0,50.0,0.45,1691.3760425255296,2.720033633194566,13.60016816597283,110.29275386115815,0.12732936961113078,True,True
15.0,300.0,75.0,0.25,1072.9866902919607,0.0,0.0,300.0,0.0,False,True
15.0,300.0,75.0,0.35,1382.1813664087451,0.0,0.0,300.0,0.0,False,True
15.0,300.0,75.0,0.45,1691.3760425255296,2.720033633194566,13.60016816597283,110.29275386115815,0.12732936961113078,True,True
15.0,300.0,100.0,0.25,1072.9866902919607,0.0,0.0,300.0,0.0,False,True
15.0,300.0,100.0,0.35,1382.1813664087451,0.0,0.0,300.0,0.0,False,True
15.0,300.0,100.0,0.45,1691.3760425255296,2.720033633194566,13.60016816597283,110.29275386115815,0.12732936961113078,True,True
15.0,300.0,125.0,0.25,1072.9866902919607,0.0,0.0,300.0,0.0,False,True
15.0,300.0,125.0,0.35,1382.1813664087451,0.0,0.0,300.0,0.0,False,True
15.0,300.0,125.0,0.45,1691.3760425255296,2.720033633194566,13.60016816597283,110.29275386115815,0.12732936961113078,True,True
15.0,300.0,150.0,0.25,1072.9866902919607,0.0,0.0,300.0,0.0,False,True
15.0,300.0,150.0,0.35,1382.1813664087451,0.0,0.0,300.0,0.0,False,True
15.0,300.0,150.0,0.45,1691.3760425255296,2.720033633194566,13.60016816597283,110.29275386115815,0.12732936961113078,True,True
15.0,400.0,50.0,0.25,1028.5084154625133,0.0,0.0,400.0,0.0,False,True
15.0,400.0,50.0,0.35,1319.9117816475186,0.0,0.0,400.0,0.0,False,True
15.0,400.0,50.0,0.45,1611.3151478325237,2.106050883311154,10.53025441655577,189.9289343717641,0.07406197460580421,True,True
15.0,400.0,75.0,0.25,1028.5084154625133,0.0,0.0,400.0,0.0,False,True
15.0,400.0,75.0,0.35,1319.9117816475186,0.0,0.0,400.0,0.0,False,True
15.0,400.0,75.0,0.45,1611.3151478325237,2.106050883311154,10.53025441655577,189.9289343717641,0.07406197460580421,True,True
15.0,400.0,100.0,0.25,1028.5084154625133,0.0,0.0,400.0,0.0,False,True
15.0,400.0,100.0,0.35,1319.9117816475186,0.0,0.0,400.0,0.0,False,True
15.0,400.0,100.0,0.45,1611.3151478325237,2.106050883311154,10.53025441655577,189.9289343717641,0.07406197460580421,True,True
15.0,400.0,125.0,0.25,1028.5084154625133,0.0,0.0,400.0,0.0,False,True
15.0,400.0,125.0,0.35,1319.9117816475186,0.0,0.0,400.0,0.0,False,True
15.0,400.0,125.0,0.45,1611.3151478325237,2.106050883311154,10.53025441655577,189.9289343717641,0.07406197460580421,True,True
15.0,400.0,150.0,0.25,1028.5084154625133,0.0,0.0,400.0,0.0,False,True
15.0,400.0,150.0,0.35,1319.9117816475186,0.0,0.0,400.0,0.0,False,True
15.0,400.0,150.0,0.45,1611.3151478325237,2.106050883311154,10.53025441655577,189.9289343717641,0.07406197460580421,True,True
20.0,100.0,50.0,0.25,1560.9920745045717,1.574439822309901,7.872199111549505,63.51465364569313,0.04058022255793197,True,True
20.0,100.0,50.0,0.35,2065.3889043064005,4.393457930279506,21.96728965139753,22.76111472715027,0.37617358902621456,True,True
20.0,100.0,50.0,0.45,2569.785734108229,5.645192113576044,28.22596056788022,17.71418899270255,0.711766955494497,True,True
20.0,100.0,75.0,0.25,1560.9920745045717,1.574439822309901,7.872199111549505,63.51465364569313,0.04058022255793197,True,True
20.0,100.0,75.0,0.35,2065.3889043064005,4.393457930279506,21.96728965139753,22.76111472715027,0.37617358902621456,True,True
20.0,100.0,75.0,0.45,2569.785734108229,5.645192113576044,28.22596056788022,17.71418899270255,0.711766955494497,True,True
20.0,100.0,100.0,0.25,1560.9920745045717,1.574439822309901,7.872199111549505,63.51465364569313,0.04058022255793197,True,True
20.0,100.0,100.0,0.35,2065.3889043064005,4.393457930279506,21.96728965139753,22.76111472715027,0.37617358902621456,True,True
20.0,100.0,100.0,0.45,2569.785734108229,5.645192113576044,28.22596056788022,17.71418899270255,0.711766955494497,True,True
20.0,100.0,125.0,0.25,1560.9920745045717,1.574439822309901,7.872199111549505,63.51465364569313,0.04058022255793197,True,True
20.0,100.0,125.0,0.35,2065.3889043064005,4.393457930279506,21.96728965139753,22.76111472715027,0.37617358902621456,True,True
20.0,100.0,125.0,0.45,2569.785734108229,5.645192113576044,28.22596056788022,17.71418899270255,0.711766955494497,True,True
20.0,100.0,150.0,0.25,1560.9920745045717,1.574439822309901,7.872199111549505,63.51465364569313,0.04058022255793197,True,True
20.0,100.0,150.0,0.35,2065.3889043064005,4.393457930279506,21.96728965139753,22.76111472715027,0.37617358902621456,True,True
20.0,100.0,150.0,0.45,2569.785734108229,5.645192113576044,28.22596056788022,17.71418899270255,0.711766955494497,True,True
20.0,200.0,50.0,0.25,1415.060126778339,0.0,0.0,200.0,0.0,False,True
20.0,200.0,50.0,0.35,1861.0841774896749,3.6266996611737747,18.133498305868873,55.146557113932715,0.2402423003923319,True,True
20.0,200.0,50.0,0.45,2307.10822820101,5.071357988389625,25.356789941948126,39.43716859623799,0.5369981558223621,True,True
20.0,200.0,75.0,0.25,1415.060126778339,0.0,0.0,200.0,0.0,False,True
20.0,200.0,75.0,0.35,1861.0841774896749,3.6266996611737747,18.133498305868873,55.146557113932715,0.2402423003923319,True,True
20.0,200.0,75.0,0.45,2307.10822820101,5.071357988389625,25.356789941948126,39.43716859623799,0.5369981558223621,True,True
20.0,200.0,100.0,0.25,1415.060126778339,0.0,0.0,200.0,0.0,False,True
20.0,200.0,100.0,0.35,1861.0841774896749,3.6266996611737747,18.133498305868873,55.146557113932715,0.2402423003923319,True,True
20.0,200.0,100.0,0.45,2307.10822820101,5.071357988389625,25.356789941948126,39.43716859623799,0.5369981558223621,True,True
20.0,200.0,125.0,0.25,1415.060126778339,0.0,0.0,200.0,0.0,False,True
20.0,200.0,125.0,0.35,1861.0841774896749,3.6266996611737747,18.133498305868873,55.146557113932715,0.2402423003923319,True,True
20.0,200.0,125.0,0.45,2307.10822820101,5.071357988389625,25.356789941948126,39.43716859623799,0.5369981558223621,True,True
20.0,200.0,150.0,0.25,1415.060126778339,0.0,0.0,200.0,0.0,False,True
20.0,200.0,150.0,0.35,1861.0841774896749,3.6266996611737747,18.133498305868873,55.146557113932715,0.2402423003923319,True,True
20.0,200.0,150.0,0.45,2307.10822820101,5.071357988389625,25.356789941948126,39.43716859623799,0.5369981558223621,True,True
20.0,300.0,50.0,0.25,1330.648920389281,0.0,0.0,300.0,0.0,False,True
20.0,300.0,50.0,0.35,1742.9084885449934,3.035945515692494,15.179727578462469,98.81600260918073,0.1616157608416456,True,True
20.0,300.0,50.0,0.45,2155.168056700706,4.667192581016844,23.335962905084223,64.2784703635775,0.4359068906857658,True,True
20.0,300.0,75.0,0.25,1330.648920389281,0.0,0.0,300.0,0.0,False,True
20.0,300.0,75.0,0.35,1742.9084885449934,3.035945515692494,15.179727578462469,98.81600260918073,0.1616157608416456,True,True
20.0,300.0,75.0,0.45,2155.168056700706,4.667192581016844,23.335962905084223,64.2784703635775,0.4359068906857658,True,True
20.0,300.0,100.0,0.25,1330.648920389281,0.0,0.0,300.0,0.0,False,True
20.0,300.0,100.0,0.35,1742.9084885449934,3.035945515692494,15.179727578462469,98.81600260918073,0.1616157608416456,True,True
20.0,300.0,100.0,0.45,2155.168056700706,4.667192581016844,23.335962905084223,64.2784703635775,0.4359068906857658,True,True
20.0,300.0,125.0,0.25,1330.648920389281,0.0,0.0,300.0,0.0,False,True
20.0,300.0,125.0,0.35,1742.9084885449934,3.035945515692494,15.179727578462469,98.81600260918073,0.1616157608416456,True,True
20.0,300.0,125.0,0.45,2155.168056700706,4.667192581016844,23.335962905084223,64.2784703635775,0.4359068906857658,True,True
20.0,300.0,150.0,0.25,1330.648920389281,0.0,0.0,300.0,0.0,False,True
20.0,300.0,150.0,0.35,1742.9084885449934,3.035945515692494,15.179727578462469,98.81600260918073,0.1616157608416456,True,True
20.0,300.0,150.0,0.45,2155.168056700706,4.667192581016844,23.335962905084223,64.2784703635775,0.4359068906857658,True,True
20.0,400.0,50.0,0.25,1271.3445539500176,0.0,0.0,400.0,0.0,False,True
20.0,400.0,50.0,0.35,1659.8823755300248,2.500766388857512,12.50383194428756,159.95096614471936,0.10637549935464057,True,True
20.0,400.0,50.0,0.45,2048.420197110032,4.33815098235236,21.6907549117618,92.2051817991591,0.36488369734533066,True,True
20.0,400.0,75.0,0.25,1271.3445539500176,0.0,0.0,400.0,0.0,False,True
20.0,400.0,75.0,0.35,1659.8823755300248,2.500766388857512,12.50383194428756,159.95096614471936,0.10637549935464057,True,True
20.0,400.0,75.0,0.45,2048.420197110032,4.33815098235236,21.6907549117618,92.2051817991591,0.36488369734533066,True,True
20.0,400.0,100.0,0.25,1271.3445539500176,0.0,0.0,400.0,0.0,False,True
20.0,400.0,100.0,0.35,1659.8823755300248,2.500766388857512,12.50383194428756,159.95096614471936,0.10637549935464057,True,True
20.0,400.0,100.0,0.45,2048.420197110032,4.33815098235236,21.6907549117618,92.2051817991591,0.36488369734533066,True,True
20.0,400.0,125.0,0.25,1271.3445539500176,0.0,0.0,400.0,0.0,False,True
20.0,400.0,125.0,0.35,1659.8823755300248,2.500766388857512,12.50383194428756,159.95096614471936,0.10637549935464057,True,True
20.0,400.0,125.0,0.45,2048.420197110032,4.33815098235236,21.6907549117618,92.2051817991591,0.36488369734533066,True,True
20.0,400.0,150.0,0.25,1271.3445539500176,0.0,0.0,400.0,0.0,False,True
20.0,400.0,150.0,0.35,1659.8823755300248,2.500766388857512,12.50383194428756,159.95096614471936,0.10637549935464057,True,True
20.0,400.0,150.0,0.45,2048.420197110032,4.33815098235236,21.6907549117618,92.2051817991591,0.36488369734533066,True,True
25.0,100.0,50.0,0.25,1876.2400931307145,3.6927006810443914,18.463503405221957,27.08045104043402,0.25032607660060846,True,True
25.0,100.0,50.0,0.35,2506.7361303830007,5.519026195883325,27.595130979416624,18.119138494865382,0.6698177846859619,True,True
25.0,100.0,50.0,0.45,3137.2321676352863,6.559372802706953,32.796864013534766,15.245360037888306,1.0,True,False
25.0,100.0,75.0,0.25,1876.2400931307145,3.6927006810443914,18.463503405221957,27.08045104043402,0.25032607660060846,True,True
25.0,100.0,75.0,0.35,2506.7361303830007,5.519026195883325,27.595130979416624,18.119138494865382,0.6698177846859619,True,True
