material,route,street_width_um,wafer_thickness_um,lowk_stack_um,groove_power_W,groove_speed_mm_s,groove_passes,stealth_power_W,stealth_speed_mm_s,stealth_focal_depth_um,stealth_layers,plasma_pressure_mTorr,plasma_etch_rate_um_min,blade_feed_mm_s,blade_W_um,mat_K_Ic_MPa,mat_H_GPa,mat_E_GPa,mat_k_thermal,mat_sigma_flex_MPa,a_kerf_um,a_chip_um,a_haz_um,a_lowk_cleared_um,a_wph,b_method,b_kerf_um,b_chip_um,b_haz_um,b_ssd_um,b_residual_MPa,b_wph,feasible,n_violations,die_strength_MPa,total_chipping_um,max_haz_um,governing_crack_um,throughput_wph,residual_stress_MPa
Si,laser+stealth,20.0,80.0,2.0,22.218287589459884,86.17449996586168,3,2.0012395726646397,352.01741765618476,43.4822061442061,2,20.0,8.0,80.0,23.0,0.83,10.0,130.0,148.0,200.0,18.532,1.0081408,1.8000000000000003,1.404,3.4974657557255515,stealth,1.981,0.309,0.0023,0.0752,1.69,17.50617909471063,0,2,200.0,1.0081408,1.8000000000000003,0.9000000000000001,2.9150779463916456,5.5432
Si,laser+stealth,20.0,80.0,2.0,13.639939694568243,285.3669706008246,4,3.575746592060547,366.8879039604285,85.89981215622845,1,20.0,8.0,80.0,23.0,0.83,10.0,130.0,148.0,200.0,17.862,0.9716928,1.7999999999999998,0.956,8.15730094913258,stealth,1.723,0.15,0.0012,0.0388,1.69,29.492406091927464,0,1,200.0,0.9716928,1.7999999999999998,0.8999999999999999,6.389915117892237,5.5432
Si,laser+stealth,20.0,80.0,2.0,33.18489885401995,162.37569680645265,4,4.85002255175802,438.21158140831443,53.06872435103894,2,20.0,8.0,80.0,23.0,0.83,10.0,130.0,148.0,200.0,19.066,1.0371904,1.7999999999999998,1.443,4.854916233424784,stealth,2.084,0.29,0.0024,0.07900000000000001,1.69,20.68439955430706,0,2,200.0,1.0371904,1.7999999999999998,0.8999999999999999,3.9320171303527367,5.5432
Si,laser+stealth,20.0,80.0,2.0,22.562029359166132,382.45662909497156,4,6.863308322617929,262.6485872019452,53.78716509475021,2,20.0,8.0,80.0,23.0,0.83,10.0,130.0,148.0,200.0,18.553,1.0092832,1.7999999999999998,0.891,10.566082605164961,stealth,2.122,0.292,0.0024,0.08040000000000001,1.69,13.830109561683889,0,2,200.0,1.0092832,1.7999999999999998,0.8999999999999999,5.989872479599701,5.5432
Si,laser+stealth,20.0,80.0,2.0,17.438627042667765,264.34404974424405,5,2.821594287026805,160.06123952110107,53.17414377322852,2,20.0,8.0,80.0,23.0,0.83,10.0,130.0,148.0,200.0,18.202,0.9901888000000002,1.8,1.289,6.209018493748994,stealth,2.022,0.281,0.0023,0.0766,1.69,9.03855051780469,0,2,200.0,0.9901888000000002,1.8,0.9,3.6806213029243633,5.5432
Si,laser+stealth,20.0,80.0,2.0,12.955379406250481,227.1247620083055,4,6.186800135573744,273.8986071587367,84.96356634720618,1,20.0,8.0,80.0,23.0,0.83,10.0,130.0,148.0,200.0,17.79,0.967776,1.8,1.062,6.630414667337436,stealth,1.775,0.157,0.0012,0.04000000000000001,1.69,24.286712868552932,0,1,200.0,0.967776,1.8,0.9,5.208471486820121,5.5432
Si,laser+stealth,20.0,80.0,2.0,39.73098040042916,358.54968391695274,3,6.023277857156024,322.4804658738176,87.82009319976306,2,20.0,8.0,80.0,23.0,0.83,10.0,130.0,148.0,200.0,19.3,1.0499200000000002,1.8000000000000003,0.747,12.785338648096252,stealth,2.108,0.178,0.0024,0.08000000000000002,1.69,16.337249649718558,0,2,200.0,1.0499200000000002,1.8000000000000003,0.9000000000000001,7.172345645040642,5.5432
Si,laser+stealth,20.0,80.0,2.0,37.20423549548527,394.92282398343366,3,5.474598671732346,429.30514216300924,45.12407065281828,2,20.0,8.0,80.0,23.0,0.83,10.0,130.0,148.0,200.0,19.215,1.045296,1.7999999999999998,0.705,13.85768017059551,stealth,2.097,0.321,0.0024,0.0796,1.69,20.371049078507454,0,2,200.0,1.045296,1.7999999999999998,0.8999999999999999,8.247325830153594,5.5432
Si,laser+stealth,20.0,80.0,2.0,12.22293659056251,141.77101131589814,2,2.5167705764003596,306.778073392318,87.49968834516065,1,20.0,8.0,80.0,23.0,0.83,10.0,130.0,148.0,200.0,17.708,0.9633152,1.8000000000000003,0.666,8.110422934668463,stealth,1.689,0.143,0.0011,0.038000000000000006,1.69,26.245679605196333,0,1,200.0,0.9633152,1.8000000000000003,0.9000000000000001,6.19580063131289,5.5432
Si,laser+stealth,20.0,80.0,2.0,35.73542864233065,173.95539818733386,6,6.4833686169576445,412.01214325523785,51.59630656385829,3,20.0,8.0,80.0,23.0,0.83,10.0,130.0,148.0,200.0,19.163,1.0424672000000001,1.7999999999999998,2.113,3.5286264288845395,stealth,2.342,0.332,0.0036,0.12040000000000001,1.69,14.349775555096482,0,1,200.0,1.0424672000000001,1.7999999999999998,0.8999999999999999,2.8321880958736427,5.5432
