material,process,mat_k_thermal,mat_E_GPa,mat_cte,power_W,speed_mm_s,beam_radius_um,blade_W_um,cut_depth_um,peak_T_C,groove_depth_um,haz_depth_um,haz_excess_um,haz_width_um,haz_volume_um3,haz_volume_frac,ablated_volume_um3,max_grad_C_per_um,max_thermal_stress_MPa,crack_risk_volume_um3,crack_risk_frac,n_steps
Si,laser,148.0,130.0,2.6e-06,11.125730224051754,248.51767939437548,7.507308739582712,23.0,60.0,1218.68,0.0,15.0,15.0,25.0,5250.0,0.003314,0.0,85.895,560.37,14125.0,0.008917,8051
Si,laser,148.0,130.0,2.6e-06,14.161465407885395,219.00484560603,4.114905368554512,23.0,60.0,2000.0,5.0,10.0,5.0,25.0,2625.0,0.001657,125.0,219.916,927.15,5125.0,0.003235,1201
Si,laser,148.0,130.0,2.6e-06,11.562078719122418,95.63514379293304,4.331550424150457,23.0,60.0,2000.0,5.0,15.0,10.0,25.0,5375.0,0.003393,125.0,175.677,927.15,12875.0,0.008128,8601
Si,laser,148.0,130.0,2.6e-06,13.754755302929826,391.9787286095505,3.7938342208776836,23.0,60.0,2000.0,5.0,10.0,5.0,25.0,2625.0,0.001657,125.0,208.482,927.15,5375.0,0.003393,751
Si,laser,148.0,130.0,2.6e-06,14.51743390792421,157.63982035541574,3.902999786581515,23.0,60.0,2000.0,5.0,10.0,5.0,25.0,2375.0,0.001499,125.0,241.188,927.15,4750.0,0.002999,1551
Si,laser,148.0,130.0,2.6e-06,10.297436029728335,173.1294137594226,5.444495391898807,23.0,60.0,1414.89,0.0,15.0,15.0,25.0,5000.0,0.003157,0.0,116.585,652.48,12750.0,0.008049,9000
Si,laser,148.0,130.0,2.6e-06,36.317498016107734,301.1031753672197,3.2511799862977275,23.0,60.0,2000.0,5.0,15.0,10.0,15.0,1500.0,0.000947,250.0,395.0,927.15,2750.0,0.001736,351
Si,laser,148.0,130.0,2.6e-06,27.752950108088168,364.9678666628885,4.020828992236986,23.0,60.0,2000.0,5.0,10.0,5.0,15.0,1875.0,0.001184,125.0,395.0,927.15,3625.0,0.002289,351
Si,laser,148.0,130.0,2.6e-06,33.05972917462729,186.24351274563304,4.083129021051472,23.0,60.0,2000.0,5.0,10.0,5.0,15.0,1375.0,0.000868,250.0,395.0,927.15,2625.0,0.001657,401
Si,laser,148.0,130.0,2.6e-06,33.31035671137951,358.5046104849555,7.159324223266365,23.0,60.0,2000.0,5.0,15.0,10.0,30.0,5375.0,0.003393,250.0,395.0,927.15,9750.0,0.006155,451
Si,laser,148.0,130.0,2.6e-06,30.355996854388906,329.34313861120154,6.952657760045712,23.0,60.0,2000.0,5.0,15.0,10.0,35.0,5875.0,0.003709,250.0,372.913,927.15,10750.0,0.006787,601
Si,laser,148.0,130.0,2.6e-06,27.12690156367354,283.51471303425546,4.370413981488355,23.0,60.0,2000.0,5.0,10.0,5.0,15.0,1875.0,0.001184,125.0,395.0,927.15,3375.0,0.002131,401
Si,laser,148.0,130.0,2.6e-06,22.53035987915559,322.27166909929133,7.96828932132047,23.0,60.0,2000.0,5.0,15.0,10.0,35.0,10875.0,0.006866,125.0,166.443,927.15,19875.0,0.012547,1351
Si,laser,148.0,130.0,2.6e-06,39.97362882491276,167.92701017019454,3.3186328963155938,23.0,60.0,2000.0,5.0,10.0,5.0,15.0,1250.0,0.000789,250.0,395.0,927.15,2000.0,0.001263,401
Si,laser,148.0,130.0,2.6e-06,10.850252461485583,348.22218679179593,5.282320466170909,23.0,60.0,1533.36,0.0,15.0,15.0,25.0,5750.0,0.00363,0.0,127.346,708.09,13375.0,0.008444,5801
Si,laser,148.0,130.0,2.6e-06,12.237406493867944,196.2296615061673,4.964394730757772,23.0,60.0,1926.19,0.0,15.0,15.0,30.0,7125.0,0.004498,0.0,157.224,892.5,18250.0,0.011521,9000
Si,laser,148.0,130.0,2.6e-06,24.954222910647008,318.4185274683715,5.347678988790097,23.0,60.0,2000.0,5.0,15.0,10.0,25.0,3250.0,0.002052,125.0,395.0,927.15,6000.0,0.003788,501
Si,laser,148.0,130.0,2.6e-06,9.049352646343404,395.50025505893643,7.168342425871025,23.0,60.0,1031.12,0.0,10.0,10.0,25.0,3250.0,0.002052,0.0,74.035,472.32,8500.0,0.005366,5151
